Date,Video,H/R,Dec,O/S,Opp,Record,GF,GA,PPG,PP Opp,PPGA,TS,SHGF,SHGA,SF,SA,Att,W Goalie,W Goal
11 Nov '17,video,H,W,OT,BUF,8-9-1,2,1,1,1,1,3,0,0,29,35,21302,C. Lindgren,M. Pacioretty
09 Nov '17,video,H,L,,MIN,7-9-1,0,3,0,3,0,3,0,1,41,35,21302,D. Dubnyk,J. Zucker
07 Nov '17,video,H,W,,VGK,7-8-1,3,2,0,2,0,2,0,0,28,31,21302,C. Lindgren,M. Pacioretty
05 Nov '17,video,R,W,,CHI,6-8-1,2,0,0,3,0,3,0,0,35,38,21871,C. Lindgren,J. Drouin
04 Nov '17,video,R,W,OT,WPG,5-8-1,5,4,3,6,3,3,0,0,50,23,15321,A. Montoya,M. Pacioretty
02 Nov '17,video,R,L,,MIN,4-8-1,3,6,0,1,1,4,0,0,31,27,18924,D. Dubnyk,R. Suter
30 Oct '17,video,R,W,,OTT,4-7-1,8,3,1,4,2,5,1,0,29,28,15069,A. Montoya,C. Hudon
28 Oct '17,video,H,W,,NYR,3-7-1,5,4,1,6,1,4,0,0,43,26,21302,C. Price,P. Danault
26 Oct '17,video,H,L,,LAK,2-7-1,0,4,0,5,0,1,0,0,40,28,21302,J. Quick,A. Kempe
24 Oct '17,video,H,W,,FLA,2-6-1,5,1,2,4,0,2,0,0,37,27,21302,C. Price,S. Weber
20 Oct '17,video,R,L,,ANA,1-6-1,2,6,1,6,1,4,0,0,51,45,17174,J. Gibson,A. Vermette
18 Oct '17,video,R,L,,LAK,1-5-1,1,5,0,4,1,3,0,0,37,42,18230,J. Quick,A. Kempe
17 Oct '17,video,R,L,,SJS,1-4-1,2,5,1,6,2,7,0,0,30,35,17377,M. Jones,T. Hertl
14 Oct '17,video,H,O,OT,TOR,1-3-1,3,4,1,2,0,2,0,0,34,22,21302,F. Andersen,A. Matthews
10 Oct '17,video,H,L,,CHI,1-3-0,1,3,0,5,1,2,0,0,42,25,21302,C. Crawford,B. Saad
08 Oct '17,video,R,L,,NYR,1-2-0,0,2,0,1,0,3,0,0,34,25,18006,H. Lundqvist,B. Skjei
07 Oct '17,video,R,L,,WSH,1-1-0,1,6,0,4,1,4,1,0,39,23,18506,B. Holtby,T. Oshie
05 Oct '17,video,R,W,SO,BUF,1-0-0,2,2,0,4,1,5,1,0,40,45,19070,C. Price,J. Drouin
