Date,Video,H/R,Dec,O/S,Opp,Record,GF,GA,PPG,PP Opp,PPGA,TS,SHGF,SHGA,SF,SA,Att,W Goalie,W Goal
Apr 06 '08,,R,W,,CBJ,33-36-13,4,1,1,5,1,5,1,0,19,36,17739,H. Toivonen,B. Boyes
Apr 05 '08,,H,W,,CBJ,32-36-13,3,0,2,4,0,2,0,0,25,25,19150,M. Legace,B. Boyes
Apr 03 '08,,R,L,,NSH,31-36-13,2,3,0,2,0,2,0,1,29,30,17113,D. Ellis,G. De Vries
Apr 01 '08,,H,O,OT,NSH,31-35-13,3,4,0,0,0,1,0,0,17,26,17357,C. Mason,R. Peverley
Mar 29 '08,,H,L,,CHI,31-35-12,3,4,1,6,0,4,0,2,34,19,19150,N. Khabibulin,C. Adams
Mar 28 '08,,R,W,OT,DET,31-34-12,4,3,1,6,2,7,0,0,21,39,20066,M. Legace,B. Boyes
Mar 25 '08,,H,L,,DET,30-34-12,1,2,0,3,1,5,0,0,18,32,19150,C. Osgood,J. Franzen
Mar 23 '08,,R,O,OT,CHI,30-33-12,3,4,0,4,0,6,0,0,29,31,19146,N. Khabibulin,P. Kane
Mar 20 '08,,R,L,,OTT,30-33-11,2,3,0,3,0,4,0,0,26,24,20027,M. Gerber,J. Spezza
Mar 18 '08,,R,W,SO,MTL,30-32-11,3,3,1,3,1,6,0,0,28,30,21273,M. Legace,B. Boyes
Mar 15 '08,,R,L,,ANA,29-32-11,2,5,0,1,1,5,0,0,40,33,17174,J. Giguere,R. Niedermayer
Mar 14 '08,,R,L,,SJS,29-31-11,1,4,1,2,0,5,0,0,21,27,17496,E. Nabokov,J. Roenick
Mar 11 '08,,R,O,OT,EDM,29-30-11,3,4,1,3,2,4,0,0,31,24,16839,M. Garon,A. Cogliano
Mar 10 '08,,R,L,,CGY,29-30-10,3,7,1,6,1,5,0,2,32,30,19289,M. Kiprusoff,M. Lombardi
Mar 08 '08,,R,L,,VAN,29-29-10,2,4,0,4,1,7,0,1,25,29,18630,R. Luongo,B. Isbister
Mar 05 '08,,R,L,,DET,29-28-10,1,4,1,4,0,6,0,0,19,32,18064,D. Hasek,J. Franzen
Mar 04 '08,,H,W,,LAK,29-27-10,3,2,0,4,0,2,0,0,31,32,14973,M. Legace,R. Johnson
Mar 01 '08,,H,L,,SJS,28-27-10,0,2,0,6,1,5,0,1,24,34,19150,B. Boucher,J. Pavelski
Feb 28 '08,,H,L,,PHX,28-26-10,1,2,0,3,2,5,0,0,42,28,17867,I. Bryzgalov,N. Kapanen
Feb 26 '08,,H,L,,DAL,28-25-10,1,3,1,8,1,3,0,0,28,21,19150,M. Turco,J. Lehtinen
Feb 24 '08,,R,L,,PHX,28-24-10,0,2,0,7,0,5,0,0,35,20,14845,I. Bryzgalov,Z. Michalek
Feb 22 '08,,R,O,OT,ANA,28-23-10,1,2,0,4,0,3,0,0,17,29,17174,J. Giguere,S. Pahlsson
Feb 21 '08,,R,L,,LAK,28-23-9,1,5,1,3,2,3,0,0,33,28,14132,D. Cloutier,A. Frolov
Feb 19 '08,,H,W,,CHI,28-22-9,5,1,3,6,0,5,0,0,37,20,19150,M. Legace,B. Boyes
Feb 17 '08,,H,W,,CBJ,27-22-9,5,1,3,7,0,4,0,1,28,19,19150,M. Legace,D. Perron
Feb 16 '08,,R,O,OT,NSH,26-22-9,1,2,0,1,1,8,0,0,19,44,17113,D. Ellis,S. Weber
Feb 14 '08,,R,W,,COL,26-22-8,4,1,0,1,0,4,1,0,24,40,17131,M. Legace,J. McClement
Feb 12 '08,,H,W,,LAK,25-22-8,4,2,0,3,0,7,0,0,34,27,15688,M. Legace,J. McKee
Feb 10 '08,,H,O,SO,MIN,24-22-8,1,1,1,4,0,3,0,0,21,25,16477,J. Harding,B. Burns
