Date,Video,H/R,Dec,O/S,Opp,Record,GF,GA,PPG,PP Opp,PPGA,TS,SHGF,SHGA,SF,SA,Att,W Goalie,W Goal
Apr 18 '06,,H,W,OT,DAL,35-43-4,5,4,2,5,1,5,0,0,31,36,17103,M. Denis,S. Fedorov
Apr 16 '06,,R,L,,CHI,34-43-4,3,4,1,5,2,11,1,0,16,41,10733,C. Anderson,
Apr 15 '06,,H,W,,CHI,34-42-4,5,2,0,4,0,2,0,0,29,36,16555,M. Denis,
Apr 13 '06,,H,W,,STL,33-42-4,4,1,1,7,0,5,0,0,31,27,16262,P. Leclaire,
Apr 11 '06,,R,L,,DAL,32-42-4,2,3,0,4,2,7,0,0,17,26,18543,M. Turco,
Apr 08 '06,,H,L,,DET,32-41-4,2,4,0,2,0,4,0,0,29,30,18136,C. Osgood,
Apr 07 '06,,R,O,SO,DET,32-40-4,5,5,1,3,1,3,0,0,23,36,20066,M. Legace,
Apr 03 '06,,R,W,,NSH,32-40-3,3,1,0,8,1,10,1,0,28,37,12073,P. Leclaire,
Apr 01 '06,,H,W,,CHI,31-40-3,5,2,1,7,1,7,1,0,24,29,17394,M. Denis,
Mar 31 '06,,R,W,,STL,30-40-3,4,2,1,4,0,6,0,0,20,30,14101,P. Leclaire,
Mar 28 '06,,H,W,,SJS,29-40-3,4,1,1,2,0,5,0,0,23,29,16094,M. Denis,
Mar 25 '06,,R,W,SO,DET,28-40-3,4,4,0,2,0,3,0,0,27,44,20006,P. Leclaire,
Mar 24 '06,,H,W,,CGY,27-40-3,3,2,0,7,1,8,0,0,28,28,17041,M. Denis,
Mar 21 '06,,H,L,,PHX,26-40-3,2,5,1,4,1,5,0,0,33,36,15581,C. Joseph,
Mar 19 '06,,H,L,,ANA,26-39-3,3,4,1,9,1,6,0,0,28,29,16519,J. Giguere,
Mar 17 '06,,H,L,,VAN,26-38-3,2,3,1,6,2,5,0,0,24,33,16163,A. Auld,
Mar 15 '06,,R,L,,CHI,26-37-3,2,3,1,5,0,3,0,0,35,29,10130,N. Khabibulin,
Mar 13 '06,,R,O,OT,STL,26-36-3,2,3,0,4,2,7,0,0,30,31,12130,P. Lalime,C. Backman
Mar 11 '06,,H,W,OT,EDM,26-36-2,4,3,0,6,2,6,0,0,31,27,18136,M. Denis,R. Klesla
Mar 09 '06,,H,W,,PHX,25-36-2,5,4,1,7,1,5,0,1,30,33,17066,P. Leclaire,
Mar 07 '06,,H,L,,CHI,24-36-2,1,3,0,4,0,4,0,0,28,44,16137,C. Anderson,
Mar 05 '06,,R,W,SO,ANA,24-35-2,2,2,2,9,1,6,0,0,34,45,16124,P. Leclaire,
Mar 04 '06,,R,L,,LAK,23-35-2,2,3,0,6,1,7,0,1,26,35,17238,M. Garon,
Mar 02 '06,,R,L,,COL,23-34-2,0,1,0,6,1,7,0,0,24,40,18007,D. Aebischer,
Feb 11 '06,,R,L,,NSH,23-33-2,2,5,0,4,2,6,0,0,25,36,17113,T. Vokoun,
Feb 10 '06,,H,L,,COL,23-32-2,1,4,0,2,2,3,0,0,29,27,18136,P. Budaj,
Feb 08 '06,,H,W,,LAK,23-31-2,7,4,2,5,0,3,0,0,36,27,16162,M. Denis,
Feb 06 '06,,R,L,,VAN,22-31-2,4,7,2,9,5,11,0,0,33,38,18630,A. Auld,
Feb 02 '06,,R,W,SO,EDM,22-30-2,1,1,0,4,0,6,0,0,19,28,16839,M. Denis,
Feb 01 '06,,R,W,SO,CGY,21-30-2,1,1,1,5,0,2,0,0,20,37,19289,M. Denis,
Jan 28 '06,,H,W,,NSH,20-30-2,4,3,1,3,3,9,1,0,24,27,18136,M. Denis,
Jan 27 '06,,H,W,,MIN,19-30-2,4,3,1,9,2,6,0,0,25,28,17153,P. Leclaire,
Jan 24 '06,,H,W,,VAN,18-30-2,6,5,4,9,2,6,0,0,43,33,16192,M. Denis,
Jan 21 '06,,R,L,,NSH,17-30-2,2,7,1,4,3,7,1,0,29,48,15416,T. Vokoun,
Jan 20 '06,,H,W,SO,STL,17-29-2,3,3,1,4,0,7,1,2,35,44,17268,M. Denis,
Jan 18 '06,,H,L,,DET,16-29-2,0,4,0,7,2,7,0,0,26,41,17089,C. Osgood,
Jan 16 '06,,H,W,,NYR,16-28-2,4,3,1,3,0,1,0,0,32,36,16355,M. Denis,
Jan 14 '06,,R,W,OT,FLA,15-28-2,5,4,1,8,1,7,0,0,23,52,17991,P. Leclaire,D. Vyborny
Jan 13 '06,,R,L,,TBL,14-28-2,2,4,1,3,0,6,0,0,24,39,20425,S. Burke,
Jan 11 '06,,H,W,,PIT,14-27-2,6,1,2,6,0,8,0,0,32,29,18136,P. Leclaire,
Jan 08 '06,,R,W,,PHX,13-27-2,5,2,3,4,1,9,0,0,15,34,14436,M. Denis,
Jan 07 '06,,R,O,SO,COL,12-27-2,2,2,0,2,2,7,0,0,21,48,18007,D. Aebischer,
Jan 05 '06,,R,L,,SJS,12-27-1,3,6,2,4,2,5,0,0,31,39,15275,V. Toskala,
Dec 31 '05,,R,L,,DET,12-26-1,2,5,0,5,2,6,0,0,15,43,20066,C. Osgood,
Dec 30 '05,,R,W,,CHI,12-25-1,3,2,0,3,1,5,0,0,21,43,13229,M. Denis,
Dec 28 '05,,H,W,,ANA,11-25-1,1,0,0,10,0,4,0,0,42,40,17387,M. Denis,
Dec 26 '05,,H,W,OT,CHI,10-25-1,4,3,1,8,1,8,1,1,32,45,17441,M. Denis,J. Balastik
Dec 23 '05,,H,L,,NSH,9-25-1,4,5,2,10,3,7,1,0,39,22,16330,T. Vokoun,
Dec 21 '05,,H,L,,DAL,9-24-1,3,5,0,8,1,7,0,0,26,35,16859,J. Hedberg,
Dec 20 '05,,R,O,SO,DET,9-23-1,3,3,1,5,0,7,0,0,33,38,20066,C. Osgood,
Dec 17 '05,,R,L,,NSH,9-23-0,3,7,1,4,1,9,1,0,26,32,16020,T. Vokoun,
Dec 15 '05,,R,L,,CAR,9-22-0,1,2,0,4,1,7,0,0,26,32,11069,M. Gerber,
Dec 13 '05,,H,L,,PHI,9-21-0,1,3,1,8,0,5,0,0,24,31,16263,R. Esche,
Dec 11 '05,,H,W,OT,NJD,9-20-0,3,2,1,5,0,7,0,0,39,30,17157,M. Denis,B. Berard
Dec 09 '05,,R,L,,ATL,8-20-0,2,5,1,5,1,6,0,0,28,31,14260,M. Garnett,
Dec 08 '05,,H,W,SO,NYI,8-19-0,3,3,3,7,2,10,0,0,27,40,15728,P. Leclaire,
Dec 01 '05,,R,L,,STL,7-19-0,1,4,1,8,3,11,0,0,26,44,12307,P. Lalime,
Nov 30 '05,,R,W,SO,MIN,7-18-0,2,2,0,4,1,4,0,0,31,34,18568,P. Leclaire,
Nov 26 '05,,R,W,,STL,6-18-0,4,3,1,3,1,5,0,0,19,34,15002,M. Prusek,
Nov 25 '05,,H,L,,COL,5-18-0,0,5,0,1,2,4,0,0,35,34,18136,D. Aebischer,
Nov 23 '05,,H,L,,NSH,5-17-0,2,4,1,6,1,8,0,0,37,41,15833,C. Mason,
Nov 20 '05,,R,L,,PHX,5-16-0,1,5,0,6,2,9,0,0,24,33,13953,D. Leneveu,
Nov 18 '05,,R,L,,DAL,5-15-0,3,6,2,7,3,8,0,1,18,29,18532,M. Turco,
Nov 16 '05,,H,L,,STL,5-14-0,0,2,0,5,0,5,0,0,36,16,15802,C. Sanford,
Nov 13 '05,,H,L,,LAK,5-13-0,2,8,0,4,2,8,0,2,29,28,16174,M. Garon,
Nov 11 '05,,H,L,,EDM,5-12-0,1,3,0,5,0,1,0,0,30,21,18136,J. Markkanen,
Nov 09 '05,,H,W,,STL,5-11-0,3,1,0,3,1,9,0,0,23,25,16058,M. Denis,
Nov 04 '05,,R,L,,VAN,4-11-0,3,5,1,6,2,6,0,0,24,26,18630,A. Auld,
Nov 03 '05,,R,L,,CGY,4-10-0,1,2,0,4,0,7,0,0,17,31,19289,M. Kiprusoff,
Nov 01 '05,,R,L,,EDM,4-9-0,1,5,1,4,2,6,0,0,24,35,16839,J. Markkanen,
Oct 29 '05,,R,L,,MIN,4-8-0,1,3,1,9,1,8,0,0,16,24,18568,M. Fernandez,
Oct 28 '05,,H,W,SO,MIN,4-7-0,1,1,0,5,0,3,0,0,53,28,15669,M. Prusek,
Oct 26 '05,,H,W,OT,NSH,3-7-0,3,2,1,6,2,12,1,0,34,24,15110,M. Prusek,A. Foote
Oct 24 '05,,H,L,,DET,2-7-0,2,6,1,8,3,9,0,0,33,37,16098,M. Legace,
Oct 22 '05,,H,L,,DET,2-6-0,0,6,0,7,1,5,0,0,17,36,18136,M. Legace,
Oct 21 '05,,H,W,,SJS,2-5-0,4,1,1,7,1,7,0,0,25,26,15388,M. Denis,
Oct 16 '05,,R,L,,LAK,1-5-0,1,3,0,7,2,9,0,0,20,31,17156,J. LaBarbera,
Oct 14 '05,,R,L,,ANA,1-4-0,3,4,2,9,1,6,0,0,19,36,12930,J. Giguere,
Oct 12 '05,,R,L,,SJS,1-3-0,1,4,0,6,0,8,0,0,27,36,17496,E. Nabokov,
Oct 09 '05,,R,W,,CHI,1-2-0,3,2,1,4,1,8,0,0,27,32,11062,M. Denis,
Oct 07 '05,,H,L,,CGY,0-2-0,1,3,1,5,0,8,0,0,20,38,18136,M. Kiprusoff,
Oct 05 '05,,R,L,,WSH,0-1-0,2,3,0,9,2,8,0,0,37,19,16325,O. Kolzig,
