Date,Video,H/R,Dec,O/S,Opp,Record,GF,GA,PPG,PP Opp,PPGA,TS,SHGF,SHGA,SF,SA,Att,W Goalie,W Goal
Apr 07 '18,video,H,O,OT,NYI,30-39-13,3,4,1,1,1,2,0,0,39,40,19515,T. Greiss,J. Tavares
Apr 05 '18,video,H,L,,MTL,30-39-12,3,4,0,3,0,1,0,0,26,28,19515,A. Niemi,A. Lehkonen
Apr 03 '18,video,R,O,OT,CBJ,30-38-12,4,5,2,3,3,5,0,0,27,41,18477,S. Bobrovsky,P. Dubois
Mar 31 '18,video,H,W,,OTT,30-38-11,2,0,0,4,0,5,0,0,27,31,19515,J. Howard,D. Larkin
Mar 29 '18,video,R,W,,BUF,29-38-11,6,3,0,5,1,4,1,0,32,32,18493,J. Howard,A. Athanasiou
Mar 27 '18,video,H,W,,PIT,28-38-11,5,2,1,2,0,2,0,0,26,24,19515,J. Howard,L. Glendening
Mar 26 '18,video,R,L,,MTL,27-38-11,2,4,0,1,2,3,0,0,28,31,21302,C. Price,B. Gallagher
Mar 24 '18,video,R,L,,TOR,27-37-11,3,4,0,1,0,4,0,0,41,29,19154,F. Andersen,N. Kadri
Mar 22 '18,video,H,L,,WSH,27-36-11,0,1,0,4,0,3,0,0,39,26,19515,P. Grubauer,B. Connolly
Mar 20 '18,video,H,W,SO,PHI,27-35-11,4,4,0,1,2,4,1,0,31,31,19515,J. Howard,F. Nielsen
Mar 18 '18,video,R,L,,COL,26-35-11,1,5,0,3,1,4,0,0,38,31,18032,S. Varlamov,B. Comeau
Mar 16 '18,video,R,L,,ANA,26-34-11,2,4,0,5,0,2,0,0,30,36,17243,J. Gibson,C. Perry
Mar 15 '18,video,R,L,,LAK,26-33-11,1,4,1,2,1,4,0,0,21,22,18230,J. Quick,A. Kopitar
Mar 12 '18,video,R,L,,SJS,26-32-11,3,5,0,2,1,3,0,0,26,34,17199,M. Jones,T. Meier
Mar 09 '18,video,R,L,,CBJ,26-31-11,2,3,0,2,0,2,0,1,24,36,17284,S. Bobrovsky,S. Jones
