Date,Video,H/R,Dec,O/S,Opp,Record,GF,GA,PPG,PP Opp,PPGA,TS,SHGF,SHGA,SF,SA,Att,W Goalie,W Goal
Apr 07 '12,video,R,W,SO,DET,45-26-11,2,2,0,6,0,2,0,0,33,32,20066,C. Crawford,P. Kane
Apr 05 '12,video,R,O,SO,MIN,44-26-11,1,1,0,4,1,2,0,0,23,23,18643,J. Harding,D. Setoguchi
Apr 01 '12,video,H,O,SO,MIN,44-26-10,4,4,1,4,1,3,0,0,35,30,21576,J. Harding,D. Setoguchi
Mar 31 '12,video,R,W,,NSH,44-26-9,5,4,2,6,2,4,0,0,37,33,17113,C. Crawford,B. Seabrook
Mar 29 '12,video,H,W,SO,STL,43-26-9,3,3,0,2,0,2,0,0,40,20,21659,C. Crawford,D. Bolland
Mar 27 '12,video,R,O,SO,NJD,42-26-9,1,1,0,4,1,3,0,0,38,22,15074,M. Brodeur,T. Zajac
Mar 25 '12,video,H,L,,NSH,42-26-8,1,6,0,4,1,2,0,0,25,24,21463,P. Rinne,A. Kostitsyn
Mar 21 '12,video,H,W,OT,VAN,42-25-8,2,1,0,5,0,3,0,0,37,24,21715,C. Crawford,A. Shaw
Mar 20 '12,video,R,W,,CBJ,41-25-8,5,1,2,2,0,2,0,0,27,25,15311,C. Crawford,P. Sharp
Mar 18 '12,video,H,W,,WSH,40-25-8,5,2,0,1,0,1,0,0,29,18,21561,C. Crawford,P. Kane
Mar 16 '12,video,R,W,,DAL,39-25-8,4,1,0,4,0,0,0,0,31,22,19099,C. Crawford,P. Sharp
Mar 13 '12,video,H,W,SO,STL,38-25-8,3,3,1,6,0,1,0,0,46,24,21349,C. Crawford,P. Kane
Mar 11 '12,video,H,O,SO,LAK,37-25-8,2,2,0,2,0,2,0,0,37,29,21398,J. Quick,M. Richards
Mar 09 '12,video,H,W,,NYR,37-25-7,4,3,0,1,0,2,0,0,22,25,22049,R. Emery,P. Kane
Mar 06 '12,video,R,L,,STL,36-25-7,1,5,0,5,1,2,0,1,20,31,19150,J. Halak,A. McDonald
Mar 04 '12,video,R,W,,DET,36-24-7,2,1,1,3,0,4,0,0,18,24,20066,R. Emery,P. Kane
Mar 02 '12,video,R,W,,OTT,35-24-7,2,1,1,2,0,1,0,0,39,26,18788,R. Emery,M. Hossa
Feb 29 '12,video,H,W,,TOR,34-24-7,5,4,0,2,1,3,0,0,35,34,21244,R. Emery,M. Hossa
Feb 26 '12,video,R,L,,ANA,33-24-7,1,3,1,3,1,3,0,0,19,38,17601,J. Hiller,S. Brookbank
Feb 25 '12,video,R,L,,LAK,33-23-7,0,4,0,6,2,3,0,1,19,30,18118,J. Quick,D. Brown
Feb 23 '12,video,H,L,,DAL,33-22-7,1,3,0,1,0,0,0,0,27,25,21659,R. Bachman,M. Ryder
Feb 21 '12,video,H,W,,DET,33-21-7,2,1,0,3,1,3,0,0,29,32,22027,C. Crawford,M. Kruger
Feb 19 '12,video,H,W,,STL,32-21-7,3,1,0,3,0,1,0,0,27,30,22077,C. Crawford,D. Bolland
Feb 18 '12,video,R,W,,CBJ,31-21-7,6,1,0,2,0,1,0,0,28,34,18663,C. Crawford,V. Stalberg
Feb 16 '12,video,R,W,,NYR,30-21-7,4,2,0,3,0,7,0,0,22,24,18200,C. Crawford,P. Sharp
Feb 14 '12,video,R,L,,NSH,29-21-7,2,3,0,3,0,3,0,0,32,19,16592,P. Rinne,R. Ellis
Feb 11 '12,video,R,L,,PHX,29-20-7,0,3,0,3,0,1,0,0,38,27,17353,M. Smith,R. Vrbata
Feb 10 '12,video,R,L,,SJS,29-19-7,3,5,0,3,3,6,0,0,33,27,17562,A. Niemi,B. Ferriero
Feb 07 '12,video,R,L,,COL,29-18-7,2,5,0,3,0,0,0,0,31,29,16553,J. Giguere,G. Landeskog
Feb 03 '12,video,R,L,,CGY,29-17-7,1,3,0,2,1,5,0,0,27,32,19289,M. Kiprusoff,J. Bouwmeester
Feb 02 '12,video,R,L,,EDM,29-16-7,4,8,0,3,1,7,1,0,47,41,16839,D. Dubnyk,C. Barker
Jan 31 '12,video,R,O,OT,VAN,29-15-7,2,3,0,2,0,0,0,0,39,33,18890,C. Schneider,D. Sedin
Jan 24 '12,video,H,L,,NSH,29-15-6,1,3,1,4,1,3,0,0,25,26,21279,P. Rinne,M. Fisher
Jan 21 '12,video,R,L,,NSH,29-14-6,2,5,0,1,1,2,0,0,22,23,17113,P. Rinne,C. Wilson
Jan 20 '12,video,H,W,,FLA,29-13-6,3,1,1,4,1,3,0,0,22,19,21555,R. Emery,D. Keith
Jan 18 '12,video,H,W,,BUF,28-13-6,6,2,2,4,1,4,0,0,35,27,21114,C. Crawford,M. Hossa
Jan 15 '12,video,H,W,,SJS,27-13-6,4,3,0,1,0,3,0,0,40,24,21645,C. Crawford,A. Shaw
Jan 14 '12,video,R,O,OT,DET,26-13-6,2,3,0,3,1,1,0,0,27,43,20066,J. Howard,T. Bertuzzi
Jan 12 '12,video,H,W,,MIN,26-13-5,5,2,2,3,0,1,0,0,30,23,21490,R. Emery,V. Stalberg
Jan 10 '12,video,H,W,,CBJ,25-13-5,5,2,0,4,0,5,1,0,25,34,21229,C. Crawford,V. Stalberg
Jan 08 '12,video,H,O,OT,DET,24-13-5,2,3,1,4,1,2,0,0,31,27,21858,T. Conklin,P. Datsyuk
Jan 06 '12,video,H,L,,COL,24-13-4,0,4,0,1,0,1,0,0,27,22,21807,S. Varlamov,D. Jones
Jan 05 '12,video,R,L,,PHI,24-12-4,4,5,0,0,1,4,0,0,34,46,19877,I. Bryzgalov,J. van Riemsdyk
Jan 02 '12,video,H,L,,EDM,24-11-4,3,4,0,5,2,5,0,0,42,30,21216,D. Dubnyk,B. Eager
Dec 30 '11,video,H,W,,DET,24-10-4,3,2,0,5,0,1,0,0,28,28,22166,C. Crawford,B. Seabrook
Dec 28 '11,video,H,L,,LAK,23-10-4,0,2,0,4,0,4,0,0,38,38,22066,J. Quick,T. Hunter
Dec 26 '11,video,H,W,,CBJ,23-9-4,4,1,1,3,0,2,0,0,22,38,21645,C. Crawford,V. Stalberg
Dec 21 '11,video,H,W,,MTL,22-9-4,5,1,0,2,1,3,0,0,28,21,22081,C. Crawford,P. Sharp
Dec 20 '11,video,R,L,,PIT,21-9-4,2,3,0,3,1,7,0,0,38,28,18607,M. Fleury,T. Kennedy
Dec 18 '11,video,H,W,,CGY,21-8-4,4,2,2,7,2,5,0,0,25,24,21192,R. Emery,P. Kane
Dec 16 '11,video,H,W,,ANA,20-8-4,4,1,1,3,0,3,0,0,24,25,21528,R. Emery,M. Hossa
Dec 14 '11,video,R,W,SO,MIN,19-8-4,3,3,1,2,0,2,0,0,31,30,19254,R. Emery,J. Toews
Dec 11 '11,video,H,W,OT,SJS,18-8-4,3,2,0,3,0,2,0,0,34,37,21456,R. Emery,P. Sharp
Dec 08 '11,video,R,W,OT,NYI,17-8-4,3,2,1,3,0,6,0,0,28,33,10711,R. Emery,P. Sharp
Dec 05 '11,video,H,O,SO,PHX,16-8-4,3,3,1,3,0,1,0,0,35,27,21079,M. Smith,O. Ekman-Larsson
Dec 03 '11,video,R,W,,STL,16-8-3,5,2,2,3,0,4,1,0,36,25,19150,R. Emery,P. Sharp
Dec 02 '11,video,H,W,SO,NYI,15-8-3,4,4,1,4,2,5,1,0,36,41,21463,C. Crawford,J. Toews
Nov 29 '11,video,H,L,,PHX,14-8-3,1,4,0,1,0,2,0,0,25,24,21183,M. Smith,S. Doan
Nov 26 '11,video,R,W,,LAK,14-7-3,2,1,0,2,0,2,0,0,27,27,18118,C. Crawford,J. Toews
Nov 25 '11,video,R,W,,ANA,13-7-3,6,5,2,7,1,3,0,0,42,28,17174,C. Crawford,J. Toews
Nov 23 '11,video,R,L,,SJS,12-7-3,0,1,0,4,1,4,0,0,34,21,17562,A. Niemi,J. Demers
Nov 19 '11,video,R,L,,EDM,12-6-3,2,9,2,6,4,7,0,0,36,34,16839,N. Khabibulin,R. Smyth
Nov 18 '11,video,R,L,,CGY,12-5-3,2,5,1,4,0,2,0,0,32,26,19289,M. Kiprusoff,P. Byron
Nov 16 '11,video,R,W,,VAN,12-4-3,5,1,2,3,0,0,0,0,27,29,18860,C. Crawford,P. Kane
