Date,Video,H/R,Dec,O/S,Opp,Record,GF,GA,PPG,PP Opp,PPGA,TS,SHGF,SHGA,SF,SA,Att,W Goalie,W Goal
Apr 11 '10,video,H,L,,TBL,32-37-13,1,3,0,2,0,5,0,0,31,31,15884,M. Smith,V. Lecavalier
Apr 10 '10,video,R,O,SO,TBL,32-36-13,3,3,1,6,2,5,1,0,32,37,17050,A. Niittymaki,S. Stamkos
Apr 08 '10,video,H,W,,NJD,32-36-12,3,2,0,1,0,2,0,0,18,44,15273,S. Clemmensen,N. Horton
Apr 06 '10,video,H,L,,OTT,31-36-12,2,5,0,3,1,4,0,0,34,28,11790,P. Leclaire,C. Neil
Apr 03 '10,video,H,L,,NYR,31-35-12,1,4,0,4,0,1,0,0,20,27,18011,H. Lundqvist,B. Prust
Apr 01 '10,video,R,W,,BOS,31-34-12,1,0,0,1,0,3,0,0,20,36,17565,S. Clemmensen,K. Ballard
Mar 31 '10,video,R,L,,BUF,30-34-12,2,6,0,2,1,2,0,0,15,41,18690,R. Miller,N. Gerbe
Mar 29 '10,video,H,O,OT,NSH,30-33-12,2,3,0,3,0,1,0,0,29,25,13679,D. Ellis,F. Bouillon
Mar 27 '10,video,R,L,,OTT,30-33-11,2,3,1,3,1,3,0,0,22,25,18689,B. Elliott,D. Alfredsson
Mar 25 '10,video,R,L,,MTL,30-32-11,1,4,0,5,0,2,0,0,24,31,21273,J. Halak,B. Gionta
Mar 23 '10,video,R,W,,TOR,30-31-11,4,1,0,3,0,6,0,0,29,43,19158,S. Clemmensen,D. Booth
Mar 21 '10,video,H,W,,TBL,29-31-11,5,2,1,5,1,2,0,0,40,31,14831,S. Clemmensen,C. Stillman
Mar 20 '10,video,H,L,,BUF,28-31-11,1,3,0,6,0,5,0,0,32,36,18217,R. Miller,P. Kaleta
Mar 18 '10,video,H,O,SO,PHX,28-30-11,3,3,1,2,1,3,0,0,24,46,12282,I. Bryzgalov,R. Vrbata
Mar 16 '10,video,H,L,,WSH,28-30-10,3,7,0,3,2,4,0,0,37,39,15123,J. Theodore,E. Fehr
Mar 13 '10,video,R,W,OT,SJS,28-29-10,3,2,0,3,1,2,0,0,28,39,17562,T. Vokoun,B. Allen
Mar 11 '10,video,R,L,,COL,27-29-10,0,3,0,1,1,2,0,0,27,31,11458,C. Anderson,P. Stastny
Mar 09 '10,video,R,W,SO,MIN,27-28-10,2,2,0,4,1,1,0,0,31,11,18191,T. Vokoun,C. Stillman
Mar 06 '10,video,H,W,,CAR,26-28-10,4,1,1,3,0,7,0,0,30,32,16202,T. Vokoun,K. Kreps
Mar 03 '10,video,H,W,,PHI,25-28-10,7,4,2,7,2,4,0,0,43,42,15878,T. Vokoun,S. Weiss
Mar 02 '10,video,R,L,,ATL,24-28-10,2,4,1,8,1,5,0,0,36,39,13818,J. Hedberg,T. White
Feb 13 '10,video,H,O,SO,BOS,24-27-10,2,2,1,4,0,1,0,0,28,39,17109,T. Rask,M. Recchi
Feb 11 '10,video,H,L,,VAN,24-27-9,0,3,0,7,1,6,0,1,31,35,13787,R. Luongo,A. Burrows
Feb 09 '10,video,R,L,,CAR,24-26-9,1,4,0,3,1,4,0,0,20,30,18393,M. Legace,J. Pitkanen
Feb 06 '10,video,R,L,,ATL,24-25-9,2,4,0,7,1,4,0,0,28,34,16743,J. Hedberg,N. Bergfors
Feb 05 '10,video,H,L,,CGY,24-24-9,1,2,1,4,2,3,0,0,13,40,16781,M. Kiprusoff,M. Giordano
Feb 01 '10,,H,L,,ANA,24-23-9,0,3,0,4,1,3,0,0,33,25,10843,J. Hiller,R. Getzlaf
Jan 31 '10,video,H,W,,NYI,24-22-9,2,0,1,3,0,4,0,0,25,33,16023,T. Vokoun,J. Leopold
Jan 29 '10,video,R,L,,WSH,23-22-9,1,4,0,5,1,3,0,0,36,40,18277,M. Neuvirth,M. Knuble
Jan 26 '10,video,H,W,,MTL,23-21-9,2,1,0,2,1,1,0,0,29,17,17104,T. Vokoun,S. Matthias
Jan 23 '10,video,H,W,,TOR,22-21-9,2,0,1,3,0,4,0,0,22,39,18087,T. Vokoun,C. Stillman
Jan 21 '10,video,R,O,SO,NYI,21-21-9,1,1,0,3,0,1,0,0,34,36,12138,D. Roloson,R. Schremp
Jan 20 '10,video,R,L,,NJD,21-21-8,0,2,0,3,0,2,0,1,22,32,13931,M. Brodeur,T. Zajac
Jan 18 '10,video,H,W,,ATL,21-20-8,1,0,0,4,0,3,0,0,24,27,11818,T. Vokoun,G. Campbell
Jan 16 '10,video,H,W,,TBL,20-20-8,5,2,2,3,1,4,0,0,23,49,15971,T. Vokoun,B. Allen
Jan 14 '10,video,R,W,,TBL,19-20-8,3,2,0,2,0,1,0,0,29,30,13516,T. Vokoun,R. Olesz
Jan 13 '10,video,H,O,SO,WSH,18-20-8,4,4,1,3,0,1,0,0,30,37,14776,J. Theodore,T. Fleischmann
Jan 09 '10,video,R,W,,OTT,18-20-7,3,0,0,5,0,4,0,0,19,24,16506,T. Vokoun,N. Horton
Jan 07 '10,video,R,L,,MTL,17-20-7,0,2,0,1,0,2,0,0,38,39,21273,J. Halak,B. Pouliot
Jan 05 '10,video,R,L,,TOR,17-19-7,2,3,1,3,1,3,0,0,31,31,18984,J. Gustavsson,A. Ponikarovsky
Jan 03 '10,video,H,W,,PIT,17-18-7,6,2,0,1,0,4,1,0,35,48,18110,T. Vokoun,R. Olesz
Dec 31 '09,video,H,L,,MTL,16-18-7,4,5,1,3,2,4,0,0,36,42,19851,J. Halak,B. Pouliot
Dec 27 '09,video,H,L,,BOS,16-17-7,1,2,0,3,0,2,0,0,26,28,18799,T. Thomas,M. Sturm
Dec 23 '09,video,R,L,,NYR,16-16-7,1,4,0,4,1,4,0,1,34,32,18200,H. Lundqvist,V. Prospal
Dec 21 '09,video,R,W,,PHI,16-15-7,4,1,3,8,0,7,0,0,30,31,19323,T. Vokoun,S. Weiss
Dec 19 '09,video,R,L,,CAR,15-15-7,2,3,1,5,0,2,0,1,30,24,12758,C. Ward,S. Samsonov
Dec 18 '09,video,H,W,,CAR,15-14-7,6,3,0,4,0,2,1,0,28,35,15107,T. Vokoun,R. Olesz
Dec 16 '09,video,H,W,,ATL,14-14-7,4,3,0,4,0,2,0,0,29,23,11672,T. Vokoun,M. Frolik
Dec 14 '09,video,R,W,,NYI,13-14-7,7,1,2,2,0,2,1,0,26,31,10489,T. Vokoun,N. Horton
Dec 12 '09,video,R,O,OT,PIT,12-14-7,2,3,1,4,1,6,0,0,31,40,16977,B. Johnson,E. Malkin
Dec 11 '09,video,R,W,,NJD,12-14-6,4,2,1,2,0,2,0,0,22,28,14132,S. Clemmensen,S. Matthias
Dec 09 '09,video,R,L,,CBJ,11-14-6,0,3,0,3,0,2,0,0,32,32,12800,S. Mason,J. Chimera
Dec 07 '09,video,H,O,SO,EDM,11-13-6,2,2,1,5,1,4,0,0,35,28,11469,J. Deslauriers,S. Horcoff
Dec 05 '09,video,H,O,SO,ATL,11-13-5,1,1,1,4,0,4,0,0,31,37,13291,J. Hedberg,R. Peverley
Dec 03 '09,video,R,L,,WSH,11-13-4,2,6,0,5,3,12,0,1,28,44,18277,S. Varlamov,M. Bradley
Dec 02 '09,video,H,W,SO,COL,11-12-4,5,5,3,7,1,6,0,0,44,34,12403,S. Clemmensen,S. Weiss
Nov 30 '09,video,R,L,,ATL,10-12-4,3,4,1,3,0,1,0,0,28,35,10310,J. Hedberg,M. Afinogenov
Nov 28 '09,video,R,L,,NSH,10-11-4,1,4,0,5,0,4,0,0,24,29,14120,D. Ellis,J. Dumont
Nov 27 '09,video,H,L,,TOR,10-10-4,4,6,2,4,2,5,0,0,30,33,16101,J. Gustavsson,N. Hagman
Nov 25 '09,video,H,O,SO,NYR,10-9-4,1,1,0,5,1,4,0,0,26,28,16281,H. Lundqvist,P. Parenteau
Nov 23 '09,video,H,O,OT,PIT,10-9-3,2,3,0,4,1,4,0,0,21,45,17024,M. Fleury,S. Crosby
Nov 21 '09,video,R,W,,NYR,10-9-2,3,2,0,2,0,1,0,0,28,34,18200,T. Vokoun,N. Horton
Nov 20 '09,video,R,W,OT,DET,9-9-2,2,1,0,3,1,4,0,0,20,40,18634,S. Clemmensen,B. McCabe
Nov 18 '09,video,R,W,,BUF,8-9-2,6,2,1,3,1,4,0,0,24,28,18546,T. Vokoun,C. Stillman
Nov 16 '09,video,H,O,SO,LAK,7-9-2,3,3,1,3,2,6,0,1,29,34,12502,J. Quick,J. Johnson
Nov 14 '09,video,H,W,SO,NYI,7-9-1,4,4,1,5,2,4,0,0,42,40,15921,T. Vokoun,N. Horton
Nov 12 '09,video,R,W,SO,BOS,6-9-1,0,0,0,3,0,3,0,0,23,40,17074,T. Vokoun,C. Stillman
Nov 07 '09,video,R,L,,WSH,5-9-1,4,7,0,2,1,4,0,0,28,32,18277,J. Theodore,T. Fleischmann
Nov 06 '09,video,H,L,,WSH,5-8-1,1,4,1,2,1,2,0,0,29,25,15877,J. Theodore,B. Morrison
Nov 04 '09,video,H,W,,CAR,5-7-1,3,0,1,6,0,5,1,0,25,32,12424,T. Vokoun,S. Reinprecht
Oct 31 '09,video,R,W,,STL,4-7-1,4,0,0,2,0,2,0,0,27,34,17943,T. Vokoun,C. Stillman
Oct 30 '09,video,R,W,SO,DAL,3-7-1,5,5,0,2,1,5,0,0,29,37,16824,S. Clemmensen,R. Olesz
Oct 28 '09,video,H,L,,OTT,2-7-1,3,4,1,7,1,1,0,0,38,29,12596,B. Elliott,J. Ruutu
